,oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
36,SUBS126-0852,0,-9.716462840884198,-1.036635028121216,0.0,0.8604289151115154,3.944796138861693,0.0,-1.772066499168442,-7.719939314200474,-41.0
37,SUBS126-0289,0,-18.58786654676224,0.1014793429921792,0.0,4.022690497292388,6.993792580507397,0.0,-0.6578628623113886,-8.127766988281564,-42.0
38,SUBS126-0705,0,-17.97930886880604,-0.6982463716136647,0.0,4.029064195491128,8.871116550426267,0.0,-3.019739711090585,-8.797114205593061,-41.0
39,SUBS126-0300,0,-11.08548500599427,-0.7069641317554385,0.0,1.04191151157338,3.765834862368774,0.0,-0.9857854553666372,-7.970488219173603,-41.0
40,SUBS126-0618,0,-15.50987918043466,-1.420329581938647,0.0,4.491648969198468,6.522079862274586,0.0,-2.471175711213346,-8.387655642113259,-41.0
41,SUBS126-0299,0,-12.68391768497531,-0.6754294913390549,0.0,1.196198031663243,5.265190567512946,0.0,-1.543298384570898,-8.44125696170886,-41.0
42,SUBS126-0635,0,-12.60012284313307,-0.0458112355259731,0.0,0.915984731631761,5.265147608886491,0.0,-1.283341321163253,-7.748143059303857,-42.0
43,SUBS126-0284,0,-11.80827566273802,-0.793874860266917,0.0,1.602078500739117,4.080451231339976,0.0,-1.389097561358026,-8.308718352283904,-39.0
44,SUBS126-0987,0,-17.67467750245851,-0.1736934748590602,0.0,4.899624149719239,6.418084520999491,0.0,-1.634432926465264,-8.165095233063766,-41.0
45,SUBS126-0028,0,-10.99173312005987,-1.149027772394368,0.0,0.8262070564000169,3.679163321920532,0.0,-0.6631823027926579,-8.29857281692557,-36.0
46,SUBS126-0135,0,-10.90853500545454,-1.326333947749509,0.0,1.386209657178188,5.58817178142026,0.0,-2.604337137654457,-7.864824652260268,-37.0
47,SUBS126-0884,0,-19.48857363874195,-0.1797202595618603,0.0,5.916338497384413,6.809996090936783,0.0,-1.576572716074941,-8.518532026057073,-41.0
48,SUBS126-0359,0,-13.21267517192355,-1.386134273469295,0.0,1.743670097369522,6.457991352339468,-0.2713936543624435,-2.792413368347145,-9.460955018393634,-41.0
