oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
SUBS126-0670,0,-11.69279242990087,-2.00155334797207,0.0,0.7675684817399543,7.410140174401294,0.0,-3.680654021854192,-9.1972911435862,-38.0
SUBS126-0275,0,-10.6114484925125,-0.4857586147713618,0.0,0.6311466012414713,4.585996159491287,0.0,-1.108064114900966,-6.988128461452106,-38.0
SUBS126-0466,0,-16.78844879462777,-0.7125906130076504,-0.2342946703368966,2.727825185317579,9.467382412160486,0.0,-2.160129931300744,-7.700256411794953,-35.0
SUBS126-0473,0,-21.71792036519692,-1.027137830348121,0.1032964420683868,4.309701950049976,12.78892665955832,0.0,-5.357730531265414,-10.90086367513391,-40.0
SUBS126-0083,0,-10.47024023279482,-3.021853745464794,0.0,1.266566580801191,8.720108948429514,0.0,-5.040735157121009,-8.546153606149574,-40.0
SUBS126-0006,0,-17.65209437784106,0.0779935173062443,0.0353488344002926,4.256275797781382,7.146424513300372,0.0,-1.391570266680053,-7.527621981732636,-42.0
SUBS126-0361,0,-20.98407320463885,-1.149437810836545,0.0,5.512617901320027,12.16673832635784,0.0,-4.027999158822968,-8.482153946620201,-36.0
SUBS126-0337,0,-20.90644186373866,-1.078454954424771,0.0,2.771543047982368,13.22355929306927,0.0,-4.312655884896367,-10.30245036200813,-39.0
SUBS126-0050,0,-12.64517286619739,-2.183370005140252,0.0,1.049654512603865,9.564480562050312,0.0,-3.177160709858192,-7.391568506541489,-39.0
SUBS126-0423,0,-8.559372426370102,-1.510028937561959,0.0,0.4842638268431529,4.568515960554987,0.0,-3.667934141746394,-8.68455571828008,-38.0
SUBS126-0755,0,-12.64677741700907,-0.4139894060282563,-0.0332658435982182,1.567747953635035,6.892337805676107,0.0,-2.310929643355045,-6.944876550679737,-37.0
SUBS126-0806,0,-13.02973886750151,-1.710683770590203,-0.0331906847681636,1.377793126821962,9.29722378132692,0.0,-2.811750390866645,-6.910346805578001,-39.0
SUBS126-0041,0,-28.89433262319362,-0.9219895244965688,0.0,10.10446395776598,16.1884777211244,0.0,-3.86792618528973,-7.391306654089703,-39.0
SUBS126-0672,0,-19.26817715763464,-1.325839438543256,0.0,4.363272184770676,10.94319181750329,0.0,-2.999753525807808,-8.287306119711957,-39.0
SUBS126-0560,0,-12.53003211413889,-1.806995252094129,0.0,0.8580714220580377,11.29471751020728,0.0,-5.373155648407728,-7.557394082375595,-39.0
SUBS126-0070,0,-10.32123319850034,-1.108383030921944,-0.3957205094498648,0.892837416315615,4.811141544694692,-0.2662223414494079,-1.03537534471331,-7.422955464024881,-38.0
SUBS126-0181,0,-13.59946508474168,-2.60477347658865,-0.0263332719423147,1.360915921366723,10.69901464082663,0.0,-5.110871562798007,-9.281512833877514,-38.0
SUBS126-0054,0,-23.0539336585789,-1.014845984751958,0.0,7.619964065568047,15.21894103769819,0.0,-7.45853669659821,-8.68841123666266,-37.0
SUBS126-0845,0,-16.84848888121378,-0.8338027754313122,-0.0308707572001992,1.684472156086167,10.76002206781031,0.0,-2.050357640866398,-7.31902583081569,-40.0
SUBS126-0335,0,-11.58184866303636,-1.173164601332479,-0.0300421396895899,0.7766151684467787,7.36819894004493,0.0,-2.629867156170977,-7.270108451737542,-39.0
SUBS126-0972,0,-8.453400704196246,-1.766863082131574,0.0,0.5147302688561013,5.313332408873293,0.0,-3.587099329208971,-7.979300437807296,-37.0
SUBS126-0629,0,-21.15790315908707,-2.262524246405953,0.0,3.085923578591383,13.61599011537796,0.0,-7.28934362954793,-14.00785734107194,-39.0
SUBS126-0714,0,-10.49774259956757,-2.988875153924975,0.0,0.5653616288599096,8.598869299914712,0.0,-3.657633306001549,-7.980020130719367,-38.0
SUBS126-0481,0,-11.3242562166768,-2.258260720615605,0.0,1.257093407977118,8.947480983346349,0.0,-3.923334486102694,-7.301277032071539,-40.0
SUBS126-0479,0,-11.51667071739321,-2.07817203788419,-0.0291262017790018,0.4907170296726235,9.405933500415722,0.0,-4.888789561769008,-8.616107988736985,-40.0
SUBS126-0188,0,-19.98206762857663,-0.1841458903330778,-0.0345541333841708,5.511111408165561,8.36779509346593,0.0,-0.6735773374251828,-6.99543848808753,-38.0
SUBS126-0666,0,-13.10121797942047,-1.178691978336374,-0.2612843906848184,3.014610991567543,6.455854678222385,0.0,-2.865034299622796,-7.935762978274624,-31.0
SUBS126-0986,0,-8.11710509473778,-0.2080939107109509,-0.3511169513051187,0.7827452761243422,2.575877808329869,-0.0289068181450957,-1.450808414060821,-6.797408104505848,-33.0
SUBS126-0823,0,-11.8729665690491,-0.6488715770535441,0.0,1.018175022021205,5.829005473072766,0.0,-1.469201897366541,-7.143859548375303,-39.0
SUBS126-0928,0,-10.94913289889228,-0.9801513662158486,0.0,0.690747409590631,5.639350630915487,0.0,-2.316022477486545,-7.915208702088194,-35.0
SUBS126-0072,0,-22.71842580116572,-0.4502387279914905,-0.0276135615845305,5.658059614697686,11.54053782534906,-0.0047880553110239,-1.649388596154477,-7.651857302160579,-41.0
SUBS126-0749,0,-12.64272256845361,-0.8950123972184388,0.0,2.087432372413013,6.795708364639403,0.0,-2.72249233440727,-7.377086563026978,-32.0
SUBS126-0771,0,-13.28270121691785,-1.570067758758943,0.0,2.708937265305122,7.039080225737735,0.0,-2.143458830113516,-7.248210314747439,-39.0
SUBS126-0102,0,-21.28094815649929,-1.358460346761588,-0.0128508052301072,5.271321467554845,11.84803478814915,0.0,-3.233611244495781,-8.766514297282356,-41.0
SUBS126-0983,0,-10.46322306875445,-1.3722848877744,0.0,0.4209189251127555,7.346963474136555,0.0,-2.96863557935166,-7.036261136631083,-30.0
SUBS126-0840,0,-12.02298350163219,-1.09886165024298,0.0,0.7243182706220979,6.13620124356139,0.0,-2.582719663002563,-8.844045300694233,-35.0
SUBS126-0820,0,-10.54260832746113,-0.0244955507745356,-0.3674615102900646,0.4711326158457269,3.074281256119502,-0.0314036805276394,-0.0078940435426659,-7.428449240631153,-37.0
SUBS126-0938,0,-10.30738114444212,-1.846112949999501,0.0,0.9052329111444124,7.402560038803039,0.0,-3.320711925267907,-7.166413069761802,-38.0
SUBS126-0384,0,-9.95208433754051,-2.780342205707925,0.0,1.056014414090714,6.744911811109932,0.0,-4.554083508388842,-9.485583826436825,-38.0
SUBS126-0354,0,-14.69552128143223,-1.031638922918692,0.0,1.674655896100285,10.32689428831572,0.0,-3.770878237879303,-7.49648825781469,-40.0
SUBS126-0135,0,-18.33518399369277,-1.239209507572029,-0.0370111645027577,3.630133810386906,9.706887692993131,-0.0243501978632288,-1.672651923222298,-7.971385283472728,-38.0
